TRAIL CODE,WALK_Name,SERV,Title,SubTitle,Latitude,Longitude,ProximityDistanceMeters,Body,DirectionsLink,Website,Colour,Triggered,Image,ImageId,TypeId,Active,Times,DaysOpened
AFR,Avondale Forest Park - River Walk,2,Tree Top Walk,,52.914816,-6.222896,,Your journey through the forest on the Treetop Walk begins as the boardwalk makes its way out over the Avonmore River valley and as the land falls away you will soon see spectacular views from Lovers’ Lookout across the valley.,,,,,AV4,,,,,
BGWT,Blessington Greenway Walking Trail,3,Blessington Lakes,,53.1527,-6.528946879,,"Poulaphouca Reservoir, officially Pollaphuca, is an active reservoir and area of wild bird conservation in west County Wicklow, Ireland named after the Poulaphouca waterfall on its south-western end where the water exits the lake. The lake is also commonly known as the Blessington Lakes,",,,,,BGW1,,,,,
LMP,Lacken Mass Path,1,Blessington Lakes,,53.1527,-6.528946879,,"Poulaphouca Reservoir, officially Pollaphuca, is an active reservoir and area of wild bird conservation in west County Wicklow, Ireland named after the Poulaphouca waterfall on its south-western end where the water exits the lake. The lake is also commonly known as the Blessington Lakes,",,,,,BGW1,,,,,
BHL,Bray Head Loop Walk,1,Bray Head Cross,,53.1906,-6.0838,,Bray head cross sits at an elevation of 190m above sea level. The cross was erected in 1950 during the holy year. The walk to the summit of the cross takes between 30-40 minutes depending on which route you take.,,,,,BHW2,,,,,
DGW,The Devil's Glen - Waterfall Walk,1,The Vartry River,,53.02728,-6.153897,,"The River Vartry rises near the Great Sugarloaf Mountain in north Wicklow. It feeds a Dublin City Council reservoir before reaching Devil’s Glen. From there, the river flows through Ashford and on to Broad Lough near Wicklow Town.",,,,,DGW2,,,,,
DGW,The Devil's Glen - Waterfall Walk,2,Devils Glen Waterfall,,53.029,-6.1671,,"Like the river, we could hear the waterfall before we could see it. You need to climb up to a small viewing platform to get a full view. A little queue had formed and we waited our turn. The waterfall is impressive and really enjoyable to view such natural power up close.",,,,,DGW5,,,,,
DWT,Derrybawn Woodland Trail - Glendalough,1,Polanass Waterfall,,53.0033,-6.3455,,The Poulanass waterfall is a small but scenic waterfall near Glendalough upper lake (Wicklow county) in the Republic of Ireland.,,,,,DWTG1,,,,,
DWT,Derrybawn Woodland Trail - Glendalough,6,Glendalough Upper Lake,,53.0037,-6.3634,,"Carved by the melting ice of an ancient glacier, the Glendalough Upper Lake is one of the most scenic location in Wicklow and Ireland.  The beauty and remoteness of Glendalough is what attracted St Kevin in the 6th century.  After spending several years as a hermit in a cave along the lake, St Kevin later founded a monastic site whose influence lasted a thousand years.",,,,,DWTG2,,,,,
DWT,Derrybawn Woodland Trail - Glendalough,4,Glendalough Monastic Site,,53.0104,-6.32739,,"Glendalough is home to one of the most important monastic sites in Ireland. This early Christian monastic settlement was founded by St. Kevin in the 6th century and from this developed the “Monastic City”. Most of the buildings that survive today date from the 10th through 12th centuries. Despite attacks by Vikings over the years, Glendalough thrived as one of Ireland’s great ecclesiastical foundations and schools of learning until the Normans destroyed the monastery in 1214 A.D. and the dioceses of Glendalough and Dublin were united. Close to the monastic city is the interactive centre. The centre features an audio visual and has a model of the monastic site on display. You will be welcomed by a friendly and knowledgeable staff where all your questions will be answered.  Glendalough is one of the top attraction on Ireland’s Ancient East",,,,,DWTG4,,,,,
KPP,St Kevins Way - Pilgrim Path,2,Glendalough Monastic Site,,53.0104,-6.32739,,"Glendalough is home to one of the most important monastic sites in Ireland. This early Christian monastic settlement was founded by St. Kevin in the 6th century and from this developed the “Monastic City”. Most of the buildings that survive today date from the 10th through 12th centuries. Despite attacks by Vikings over the years, Glendalough thrived as one of Ireland’s great ecclesiastical foundations and schools of learning until the Normans destroyed the monastery in 1214 A.D. and the dioceses of Glendalough and Dublin were united. Close to the monastic city is the interactive centre. The centre features an audio visual and has a model of the monastic site on display. You will be welcomed by a friendly and knowledgeable staff where all your questions will be answered.  Glendalough is one of the top attraction on Ireland’s Ancient East",,,,,DWTG4,,,,,
KPPV,St Kevins Way - Pilgrim Path (Valleymount),2,Glendalough Monastic Site,,53.0104,-6.32739,,"Glendalough is home to one of the most important monastic sites in Ireland. This early Christian monastic settlement was founded by St. Kevin in the 6th century and from this developed the “Monastic City”. Most of the buildings that survive today date from the 10th through 12th centuries. Despite attacks by Vikings over the years, Glendalough thrived as one of Ireland’s great ecclesiastical foundations and schools of learning until the Normans destroyed the monastery in 1214 A.D. and the dioceses of Glendalough and Dublin were united. Close to the monastic city is the interactive centre. The centre features an audio visual and has a model of the monastic site on display. You will be welcomed by a friendly and knowledgeable staff where all your questions will be answered.  Glendalough is one of the top attraction on Ireland’s Ancient East",,,,,DWTG4,,,,,
KTT,Kindlestown Trail,1,Kindlestown Hill,,53.1489,-6.1002,,"Kindlestown is situated to the east of the Kings River Valley on the extensive coastal plain that stretches from the Wicklow Mountains to the sea. The area is called after Albert de Kinley, who was a sheriff in the area in 1301. The wood formed part of the old Bellevue Estate. As you walk through the wood, there are some impressivie old specimen trees from the old estate days. Today, much of the wood contains native broadleaves of oak, ash, birch, holly and rowan along with introduced broadleaves such as beech, sycamore and sweet chestnut. There are conifer trees also, including Scots and Corsican pines, Noble and Douglas firs and and Sitka spruce.",,,,,,,,,,
PGL,Poulanass - Glendalough,1,Poulanass Waterfall,,53.0033,-6.3455,,The Poulanass waterfall is a small but scenic waterfall near Glendalough upper lake.,,,,,PGL2,,,,,
PGL,Poulanass - Glendalough,2,Glendalough Upper Lake,,53.0037,-6.3634,,"Carved by the melting ice of an ancient glacier, the Glendalough Upper Lake is one of the most scenic location in Wicklow and Ireland.  The beauty and remoteness of Glendalough is what attracted St Kevin in the 6th century.  After spending several years as a hermit in a cave along the lake, St Kevin later founded a monastic site whose influence lasted a thousand years.",,,,,DWTG2,,,,,
DWT,Derrybawn Woodland Trail - Glendalough,2,Glendalough lower lake,,53.0088,-6.3355,,"Glendalough Lower Lake is a long, glacial lake in the valley of Glendalough in County Wicklow, This, the Lower Lake and Glendalough Upper Lake  are the two waters which gives the valley its name, Gleann Dá Loch ('Valley of Two Lakes').",,,,,DWTG6,,,,,
DWT,Derrybawn Woodland Trail - Glendalough,5,Glendalough Round Tower,,53.0109,-6.32775,,"The most famous of all the landmarks in Glendalough is the Round Tower which stands 33 meters above the ground. It was built almost 1000 years ago by the monks of St. Kevin’s monastery. The conical roof had to be replaced in 1876 when it was struck by lightning. The towers were called “Cloigtheach”, meaning bell tower, suggesting their main use. The towers were sometimes used as a place of refuge for monks when the monastery was under attack. They also served both as lookout posts and as beacons for approaching monks and pilgrims.",,,,,DWTG7,,,,,
KPP,St Kevins Way - Pilgrim Path,3,Glendalough Round Tower,,53.0109,-6.32775,,"The most famous of all the landmarks in Glendalough is the Round Tower which stands 33 meters above the ground. It was built almost 1000 years ago by the monks of St. Kevin’s monastery. The conical roof had to be replaced in 1876 when it was struck by lightning. The towers were called “Cloigtheach”, meaning bell tower, suggesting their main use. The towers were sometimes used as a place of refuge for monks when the monastery was under attack. They also served as both as lookout posts and as beacons foe approaching monks and pilgrims.",,,,,DWTG7,,,,,
KPPV,St Kevins Way - Pilgrim Path (Valleymount),3,Glendalough Round Tower,,53.0109,-6.32775,,"The most famous of all the landmarks in Glendalough is the Round Tower which stands 33 meters above the ground. It was built almost 1000 years ago by the monks of St. Kevin’s monastery. The conical roof had to be replaced in 1876 when it was struck by lightning. The towers were called “Cloigtheach”, meaning bell tower, suggesting their main use. The towers were sometimes used as a place of refuge for monks when the monastery was under attack. They also served as both as lookout posts and as beacons foe approaching monks and pilgrims.",,,,,DWTG7,,,,,
ALG,Arklow Loops Glenart Walk,2,Glenart Wood,,52.8066,-6.2009,,"Glenart Wood is situated to the south of the Avoca River. The Glenart estate dates from the Norman invasion when Theobald Walter, from whom the Butlers and the Dukes of Ormond are descended, was granted a large tract of lands in Co Wicklow. The Butler family owned the estate until the late 17th century when it passed through marriage to the Proby family. Glenart is a small glen with small streams flowing into the Avoca River.The site hosts fox, rabbit, badger, stoat and hare.",,,,,GWW3,,,,,
